chorld,level,chord,note1,note2,note3
C,Major,"C,E,G",C,E,G
Cm,Minor,"C,Eb,G",C,Eb,G
C7,Aug,"C,E,G#",C,E,G#
C#,Major,"C#,F,Ab",C#,F,Ab
C#m,Minor,"C#,E,Ab",C#,E,Ab
C#7,Aug,"C#,F,A",C#,F,A
Db,Major,"Db,F,Ab",Db,F,Ab
Dbm,Minor,"Db,E,Ab",Db,E,Ab
Db7,Aug,"Db,F,A",Db,F,A
D,Major,"D,F#,A",D,F#,A
Dm,Minor,"D,F,A",D,F,A
D7,Aug,"D,F#,Bb",D,F#,Bb
D#,Major,"D#,G,Bb",D#,G,Bb
D#m,Minor,"D#,Gb,Bb",D#,Gb,Bb
D#7,Aug,"D#,G,B",D#,G,B
Eb,Major,"Eb,G,Bb",Eb,G,Bb
Ebm,Minor,"Eb,Gb,Bb",Eb,Gb,Bb
Eb7,Aug,"Eb,G,B",Eb,G,B
E,Major,"E,G#,B",E,G#,B
Em,Minor,"E,G,B",E,G,B
E7,Aug,"E,G#,C",E,G#,C
F,Major,"F,A,C",F,A,C
Fm,Minor,"F,Ab,C",F,Ab,C
F7,Aug,"F,A,C#",F,A,C#
F#,Major,"F#,Bb,Db",F#,Bb,Db
F#m,Minor,"F#,A,Db",F#,A,Db
F#7,Aug,"F#,Bb,D",F#,Bb,D
Gb,Major,"Gb,Bb,Db",Gb,Bb,Db
Gbm,Minor,"Gb,A,Db",Gb,A,Db
Gb7,Aug,"Gb,Bb,D",Gb,Bb,D
G,Major,"G,B,D",G,B,D
Gm,Minor,"G,Bb,D",G,Bb,D
G7,Aug,"G,B,D#",G,B,D#
Ab,Major,"Ab,C,Eb",Ab,C,Eb
Abm,Minor,"Ab,B,Eb",Ab,B,Eb
Ab7,Aug,"Ab,C,E",Ab,C,E
G#,Major,"G#,C,Eb",G#,C,Eb
G#m,Minor,"G#,B,Eb",G#,B,Eb
G#7,Aug,"G#,C,E",G#,C,E
A,Major,"A,C#,E",A,C#,E
Am,Minor,"A,C,E",A,C,E
A7,Aug,"A,C#,F",A,C#,F
A#,Major,"A#,D,F",A#,D,F
A#m,Minor,"A#, Db,F",A#, Db,F
A#7,Aug,"A#,D,Gb",A#,D,Gb
Bb,Major,"Bb,D,F",Bb,D,F
Bbm,Minor,"Bb, Db,F",Bb, Db,F
Bb7,Aug,"Bb,D,Gb",Bb,D,Gb
B,Major,"B,D#,F#",B,D#,F#
Bm,Minor,"B,D,F#",B,D,F#
B7,Aug,"B,D#,G",B,D#,G